auction_id,market,market_name,census_id,population,small_market_indicator
108,AK-013,Aleutians East,02013,3141,Y
108,AK-016,Aleutians West,02016,5561,Y
108,AK-020,Anchorage,02020,291826,Y
108,AK-050,Bethel,02050,17013,Y
108,AK-068,Denali,02068,1826,Y
108,AK-070,Dillingham,02070,4847,Y
108,AK-090,Fairbanks North Star,02090,97581,Y
108,AK-100,Haines,02100,2508,Y
108,AK-105,Hoonah-Angoon,02105,2149,Y
108,AK-110,Juneau,02110,31275,Y
108,AK-122,Kenai Peninsula,02122,55400,Y
108,AK-130,Ketchikan Gateway,02130,13477,Y
108,AK-150,Kodiak Island,02150,13592,Y
108,AK-158,Kusilvak,02158,7459,Y
108,AK-170,Matanuska-Susitna,02170,88995,Y
108,AK-180,Nome,02180,9492,Y
108,AK-195,Petersburg,02195,3203,Y
108,AK-198,Prince of Wales-Hyder,02198,6172,Y
108,AK-230,Skagway,02230,968,Y
108,AK-240,Southeast Fairbanks,02240,7029,Y
108,AK-261,Valdez-Cordova,02261,9636,Y
108,AK-275,Wrangell,02275,2369,Y
108,AK-282,Yakutat,02282,662,Y
108,AK-290,Yukon-Koyukuk,02290,5588,Y
108,AL-001,Autauga,01001,54571,Y
108,AL-003,Baldwin,01003,182265,N
108,AL-005,Barbour,01005,27457,Y
108,AL-007,Bibb,01007,22915,Y
108,AL-009,Blount,01009,57322,Y
108,AL-011,Bullock,01011,10914,Y
108,AL-013,Butler,01013,20947,Y
108,AL-015,Calhoun,01015,118572,N
108,AL-019,Cherokee,01019,25989,Y
108,AL-021,Chilton,01021,43643,Y
108,AL-023,Choctaw,01023,13859,Y
108,AL-025,Clarke,01025,25833,N
108,AL-027,Clay,01027,13932,Y
108,AL-031,Coffee,01031,49948,Y
108,AL-035,Conecuh,01035,13228,N
108,AL-037,Coosa,01037,11539,Y
108,AL-039,Covington,01039,37765,Y
108,AL-041,Crenshaw,01041,13906,Y
108,AL-043,Cullman,01043,80406,Y
108,AL-045,Dale,01045,50251,Y
108,AL-047,Dallas,01047,43820,Y
108,AL-049,DeKalb,01049,71109,N
108,AL-051,Elmore,01051,79303,Y
108,AL-053,Escambia,01053,38319,N
108,AL-055,Etowah,01055,104430,N
108,AL-057,Fayette,01057,17241,Y
108,AL-059,Franklin,01059,31704,N
108,AL-061,Geneva,01061,26790,Y
108,AL-063,Greene,01063,9045,Y
108,AL-065,Hale,01065,15760,Y
108,AL-067,Henry,01067,17302,Y
108,AL-069,Houston,01069,101547,Y
108,AL-071,Jackson,01071,53227,N
108,AL-073,Jefferson,01073,658466,N
108,AL-075,Lamar,01075,14564,Y
108,AL-077,Lauderdale,01077,92709,N
108,AL-079,Lawrence,01079,34339,N
108,AL-083,Limestone,01083,82782,N
108,AL-085,Lowndes,01085,11299,Y
108,AL-087,Macon,01087,21452,Y
108,AL-091,Marengo,01091,21027,Y
