auction_id,license,market,market_name,category,bidder,frn,bidding_credit_type,bidding_credit,gross_license_price,net_license_price,effective_bidding_credit
108,D01001-1,AL-001,Autauga,C1,T-Mobile License LLC,0001565449,,0,17000,17000,0.0
108,D01001-2,AL-001,Autauga,C2,T-Mobile License LLC,0001565449,,0,17000,17000,0.0
108,D01001-3,AL-001,Autauga,C3,T-Mobile License LLC,0001565449,,0,63000,63000,0.0
108,D01003-1,AL-003,Baldwin,C1,T-Mobile License LLC,0001565449,,0,273000,273000,0.0
108,D01003-2,AL-003,Baldwin,C2,T-Mobile License LLC,0001565449,,0,444000,444000,0.0
108,D01003-3,AL-003,Baldwin,C3,T-Mobile License LLC,0001565449,,0,140000,140000,0.0
108,D01005-1,AL-005,Barbour,C1,T-Mobile License LLC,0001565449,,0,8000,8000,0.0
108,D01005-2,AL-005,Barbour,C2,T-Mobile License LLC,0001565449,,0,8000,8000,0.0
108,D01005-3,AL-005,Barbour,C3,T-Mobile License LLC,0001565449,,0,7200,7200,0.0
108,D01007-1,AL-007,Bibb,C1,T-Mobile License LLC,0001565449,,0,6000,6000,0.0
108,D01007-2,AL-007,Bibb,C2,T-Mobile License LLC,0001565449,,0,6000,6000,0.0
108,D01007-3,AL-007,Bibb,C3,T-Mobile License LLC,0001565449,,0,2000,2000,0.0
108,D01009-1,AL-009,Blount,C1,T-Mobile License LLC,0001565449,,0,17000,17000,0.0
108,D01009-2,AL-009,Blount,C2,T-Mobile License LLC,0001565449,,0,17000,17000,0.0
108,D01009-3,AL-009,Blount,C3,T-Mobile License LLC,0001565449,,0,21000,21000,0.0
108,D01011-1,AL-011,Bullock,C1,T-Mobile License LLC,0001565449,,0,3000,3000,0.0
108,D01011-2,AL-011,Bullock,C2,T-Mobile License LLC,0001565449,,0,3000,3000,0.0
108,D01011-3,AL-011,Bullock,C3,T-Mobile License LLC,0001565449,,0,4100,4100,0.0
108,D01013-1,AL-013,Butler,C1,T-Mobile License LLC,0001565449,,0,9000,9000,0.0
108,D01013-2,AL-013,Butler,C2,T-Mobile License LLC,0001565449,,0,24000,24000,0.0
108,D01013-3,AL-013,Butler,C3,T-Mobile License LLC,0001565449,,0,7200,7200,0.0
