auction_id,round,bidder,frn,bidding_credit_pct,bidding_credit_type,eligibility,required_activity,activity,req_commitment,req_commitment_discount_capped,req_net_commitment,req_commitment_discount_uncapped,req_commitment_discount_uncapped_small,processed_activity,commitment,commitment_discount_capped,net_commitment,commitment_discount_uncapped,commitment_discount_uncapped_small,next_round_eligibility,next_round_required_activity
102,91,8538 GREEN STREET LLC,0003488897,25,Small Business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
102,91,AT&T Spectrum Frontiers LLC,0027840180,0,,5814015,5814015,5802972,1047509000,,,,,5814015,953996956,,,,,5814015,
102,91,ATI Sub LLC,0017806043,0,,0,0,0,0,,,,,0,0,,,,,0,
102,91,"Arctic Slope Telephone Association Cooperative, In",0001570936,0,,150,150,150,7000,,,,,150,5800,,,,,150,
102,91,Aries Wireless LLC,0027834787,0,,0,0,0,0,,,,,0,0,,,,,0,
102,91,"Atlantic Seawinds Communications, LLC",0004383485,15,Rural,420,420,0,0,0,0,0,,420,154000,23100,130900,23100,,420,
102,91,"BDCIH Wireless, LLC",0027848175,15,Rural,1638,1638,1638,44000,6600,37400,6600,,1638,32920,4938,27982,4938,,1638,
102,91,Bluegrass Consortium,0025234709,15,Rural,6330,6330,6330,4475000,671250,3803750,671250,,6330,4065020,609753,3455267,609753,,6330,
102,91,Cellco Partnership d/b/a Verizon Wireless,0003290673,0,,149800,149800,0,0,,,,,149800,15255000,,,,,149800,
102,91,Central Broadband 24/28 GHz Consortium,0027840818,15,Rural,1598,1598,1598,1292000,193800,1098200,193800,,1598,1170980,175647,995333,175647,,1598,
102,91,"Cordova Telephone Cooperative, Inc.",0001571181,25,Small Business,600,600,600,171000,42750,128250,42750,42750,600,154998,38750,116248,38750,38750,600,
102,91,Crestone Wireless L.L.C.,0027851781,0,,519378,519378,519378,12909000,,,,,519378,11772051,,,,,519378,
102,91,"Docomo Pacific, Inc.",0004242723,0,,0,0,0,0,,,,,0,0,,,,,0,
102,91,"FTC Management Group, Inc.",0004600268,15,Rural,920,920,0,0,0,0,0,,920,18600,2790,15810,2790,,920,
102,91,High Band License Co LLC,0027843630,0,,0,0,0,0,,,,,0,0,,,,,0,
102,91,"Horry Telephone Cooperative, Inc.",0001886944,15,Rural,2670,2670,2670,1191000,178650,1012350,178650,,2670,1079011,161852,917159,161852,,2670,
102,91,Kitsune Communications LLC,0027808245,25,Small Business,35,35,35,11000,2750,8250,2750,2750,35,8300,2075,6225,2075,2075,35,
102,91,"LICT Wireless Broadband Company, LLC",0025243858,0,,9230,9230,8680,4485000,,,,,9230,4807060,,,,,9230,
102,91,"NBVDS Investment, L.L.C.",0017194986,15,Rural,2410,2410,2410,1131000,169650,961350,169650,,2410,1024001,153600,870401,153600,,2410,
102,91,"Nsight Spectrum, LLC",0020519138,0,,277,277,277,57000,,,,,277,51000,,,,,277,
102,91,"Nuvera Communications, Inc.",0003739430,15,Rural,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
102,91,"Public Service Wireless Services, Inc.",0007024607,0,,0,0,0,0,,,,,0,0,,,,,0,
102,91,RSA 1 Limited Partnership,0002576411,0,,0,0,0,0,,,,,0,0,,,,,0,
102,91,Rock Port Telephone Company,0004362505,0,,176,176,176,253000,,,,,176,228020,,,,,176,
102,91,SANN Consortium,0027856186,15,Rural,790,790,790,425000,63750,361250,63750,,790,385030,57755,327275,57755,,790,
102,91,"Samba Capital Partners, LLC",0027780980,25,Small Business,5121,5121,5121,123000,30750,92250,30750,16250,5121,106000,26500,79500,26500,13500,5121,
102,91,Skyriver Spectrum & Technology LLC,0027662014,0,,3140,3140,0,0,,,,,3140,129020,,,,,3140,
102,91,Starry Spectrum Holdings LLC,0027855998,0,,788870,788870,788870,53362000,,,,,788870,48462600,,,,,788870,
102,91,T-Mobile License LLC,0001565449,0,,7153990,7153990,7063590,861440000,,,,,7153700,802404940,,,,,7153700,
102,91,"TeleGuam Holdings, LLC",0011458999,0,,1050,1050,1050,520000,,,,,1050,470000,,,,,1050,
102,91,"The Alaska Wireless Network, LLC",0021818133,0,,1940,1940,1940,298000,,,,,1940,265040,,,,,1940,
102,91,"Trace Fiber Networks, LLC",0027848720,0,,0,0,0,0,,,,,0,0,,,,,0,
102,91,"Tradewinds Wireless Holdings, LLC",0025259615,25,Small Business,1203,1203,1203,483000,120750,362250,120750,120750,1203,435070,108768,326302,108768,108768,1203,
102,91,Tri County Radio,0013444575,25,Small Business,240,240,0,0,0,0,0,0,240,5000,1250,3750,1250,1250,240,
102,91,Union Telephone Company,0001630201,15,Rural,1800,1800,829,1595000,239250,1355750,239250,,1800,1481220,222183,1259037,222183,,1800,
102,91,United States Cellular Corporation,0004372322,0,,180336,180336,173646,124980000,,,,,180336,120468929,,,,,180336,
102,91,"Windstream Services, LLC",0014400220,0,,30997,30997,30347,22070000,,,,,30997,20439360,,,,,30997,
102,91,"van Steenis, Ryan",0027850510,25,Small Business,81,81,0,0,0,0,0,0,81,12910,3228,9682,3228,3228,81,
102,90,8538 GREEN STREET LLC,0003488897,25,Small Business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,90,AT&T Spectrum Frontiers LLC,0027840180,0,,5814015,5814015,5802972,1047509000,,,,,5814015,953996956,,,,,5814015,5814015
102,90,ATI Sub LLC,0017806043,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,90,"Arctic Slope Telephone Association Cooperative, In",0001570936,0,,150,150,150,7000,,,,,150,5800,,,,,150,150
102,90,Aries Wireless LLC,0027834787,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,90,"Atlantic Seawinds Communications, LLC",0004383485,15,Rural,420,420,0,0,0,0,0,,420,154000,23100,130900,23100,,420,420
102,90,"BDCIH Wireless, LLC",0027848175,15,Rural,1638,1638,1638,44000,6600,37400,6600,,1638,32920,4938,27982,4938,,1638,1638
102,90,Bluegrass Consortium,0025234709,15,Rural,6330,6330,6330,4475000,671250,3803750,671250,,6330,4065020,609753,3455267,609753,,6330,6330
102,90,Cellco Partnership d/b/a Verizon Wireless,0003290673,0,,149800,149800,0,0,,,,,149800,15255000,,,,,149800,149800
102,90,Central Broadband 24/28 GHz Consortium,0027840818,15,Rural,1598,1598,1598,1292000,193800,1098200,193800,,1598,1170980,175647,995333,175647,,1598,1598
102,90,"Cordova Telephone Cooperative, Inc.",0001571181,25,Small Business,600,600,600,171000,42750,128250,42750,42750,600,154998,38750,116248,38750,38750,600,600
102,90,Crestone Wireless L.L.C.,0027851781,0,,519378,519378,519378,12997000,,,,,519378,11819190,,,,,519378,519378
102,90,"Docomo Pacific, Inc.",0004242723,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,90,"FTC Management Group, Inc.",0004600268,15,Rural,920,920,0,0,0,0,0,,920,18600,2790,15810,2790,,920,920
102,90,High Band License Co LLC,0027843630,0,,0,0,0,0,,,,,0,0,,,,,0,0
102,90,"Horry Telephone Cooperative, Inc.",0001886944,15,Rural,2670,2670,2670,1191000,178650,1012350,178650,,2670,1079011,161852,917159,161852,,2670,2670
102,90,Kitsune Communications LLC,0027808245,25,Small Business,35,35,35,11000,2750,8250,2750,2750,35,8300,2075,6225,2075,2075,35,35
102,90,"LICT Wireless Broadband Company, LLC",0025243858,0,,9230,9230,8680,4485000,,,,,9230,4807060,,,,,9230,9230
102,90,"NBVDS Investment, L.L.C.",0017194986,15,Rural,2410,2410,2410,1131000,169650,961350,169650,,2410,1024001,153600,870401,153600,,2410,2410
102,90,"Nsight Spectrum, LLC",0020519138,0,,277,277,277,57000,,,,,277,51000,,,,,277,277
102,90,"Nuvera Communications, Inc.",0003739430,15,Rural,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0
102,90,"Public Service Wireless Services, Inc.",0007024607,0,,0,0,0,0,,,,,0,0,,,,,0,0
