auction_id,market_number,market_description,market_population,bidding_units,small_market_indicator
102,PEA001,"New York, NY",25237061,252400, N 
102,PEA002,"Los Angeles, CA",19410169,194100, N 
102,PEA003,"Chicago, IL",9366713,93700, N 
102,PEA004,"San Francisco, CA",9027937,90300, N 
102,PEA005,"Baltimore, MD-Washington, DC",7842134,78400, N 
102,PEA006,"Philadelphia, PA",7587252,75900, N 
102,PEA007,"Boston, MA",6776035,67800, N 
102,PEA008,"Dallas, TX",6452472,64500, N 
102,PEA009,"Miami, FL",6291880,62900, N 
102,PEA010,"Houston, TX",5891999,58900, N 
102,PEA011,"Atlanta, GA",5435312,54400, N 
102,PEA012,"Detroit, MI",5137479,51400, N 
102,PEA013,"Orlando, FL",4562642,45600, N 
102,PEA014,"Cleveland, OH",4096678,41000, N 
102,PEA015,"Phoenix, AZ",3817117,38200, N 
102,PEA016,"Seattle, WA",3792218,37900, N 
102,PEA017,"Minneapolis-St. Paul, MN",3390091,33900, N 
102,PEA018,"San Diego, CA",3095313,31000, N 
102,PEA019,"Portland, OR",3022643,30200, N 
102,PEA020,"Denver, CO",2789669,27900, N 
102,PEA021,"Tampa, FL",2783243,27800, N 
102,PEA022,"Sacramento, CA",2722415,27200, N 
102,PEA023,"Pittsburgh, PA",2399667,24000, N 
102,PEA024,"Saint Louis, MO",2396938,24000, N 
102,PEA025,"Cincinnati, OH",2196428,22000, N 
102,PEA026,"Las Vegas, NV",2151455,21500, N 
102,PEA027,"Salt Lake City, UT",2142152,21400, N 
102,PEA028,"San Antonio, TX",1999689,20000, N 
102,PEA029,"Jacksonville, FL",1918264,19200, N 
102,PEA030,"Kansas City, MO",1810075,18100, N 
102,PEA031,"Indianapolis, IN",1769011,17700, N 
102,PEA032,"Nashville, TN",1748445,17500, N 
102,PEA033,"Virginia Beach, VA",1698835,17000, N 
102,PEA034,"Fresno, CA",1676476,16800, N 
102,PEA035,"Austin, TX",1628809,16300, N 
102,PEA036,"New Orleans, LA",1622143,16200, N 
102,PEA037,"Columbus, OH",1582917,15800, N 
102,PEA038,"Milwaukee, WI",1555908,15600, N 
102,PEA039,"Oklahoma City, OK",1446527,14500, N 
102,PEA040,"Birmingham, AL",1399686,14000, N 
102,PEA041,"Syracuse, NY",1371959,13700, N 
102,PEA042,"Honolulu, HI",1360301,13600, N 
102,PEA043,"Charlotte, NC",1327006,13300, N 
102,PEA044,"Rochester, NY",1316146,13200, N 
102,PEA045,"Raleigh, NC",1302381,13000, N 
102,PEA046,"Little Rock, AR",1275690,12800, N 
102,PEA047,"Brownsville, TX",1264091,12600, N 
102,PEA048,"Harrisburg, PA",1244058,12400, N 
102,PEA049,"Albany, NY",1222542,12200, N 
